survey_organization,party_affiliation,start_date,end_date,survey_method,survey_question,survey_population,survey_sample,approve_percent,disapprove_percent,undecided_percent,margin_of_error
Gallup,None,2010-06-13,2010-06-15,Live Phone,,Adults,1500,49,43,,3
Rasmussen,None,2010-06-13,2010-06-15,Automated Phone,,Likely Voters,1500,42,57,,3
Gallup,None,2010-06-14,2010-06-16,Live Phone,,Adults,1500,46,44,,3
Rasmussen,None,2010-06-14,2010-06-16,Automated Phone,,Likely Voters,1500,43,56,,3
Gallup,None,2010-06-15,2010-06-17,Live Phone,,Adults,1500,45,46,,3
Rasmussen,None,2010-06-15,2010-06-17,Automated Phone,,Likely Voters,1500,41,58,,3
Pew,None,2010-06-16,2010-06-20,Live Phone,,Adults,1802,48,43,9,3
Pew,None,2010-06-16,2010-06-20,Live Phone,,Adults (Democrats),596,78,15,7,5
Pew,None,2010-06-16,2010-06-20,Live Phone,,Adults (Republicans),528,16,77,7,5.5
Pew,None,2010-06-16,2010-06-20,Live Phone,,Adults (Independents),596,44,45,10,5
CBS/Times,None,2010-06-16,2010-06-20,Live Phone,,Adults,1259,47,43,10,3
CBS/Times,None,2010-06-16,2010-06-20,Live Phone,,Adults (Democrats),,74,16,10,
CBS/Times,None,2010-06-16,2010-06-20,Live Phone,,Adults (Republicans),,15,80,5,
CBS/Times,None,2010-06-16,2010-06-20,Live Phone,,Adults (Independents),,43,44,13,
Gallup,None,2010-06-16,2010-06-18,Live Phone,,Adults,1500,45,46,,3
Rasmussen,None,2010-06-16,2010-06-18,Automated Phone,,Likely Voters,1500,42,57,,3
CNN,None,2010-06-16,2010-06-16,Live Phone,,Adults,534,50,48,2,4
Marist College,None,2010-06-17,2010-06-24,Live Phone,,Registered Voters,813,44,45,11,3.5
Marist College,None,2010-06-17,2010-06-24,Live Phone,,Registered Voters (Democrats),,75,14,11,
Marist College,None,2010-06-17,2010-06-24,Live Phone,,Registered Voters (Republicans),,14,78,8,
Marist College,None,2010-06-17,2010-06-24,Live Phone,,Registered Voters (Independents),,37,49,15,
NBC/WSJ,None,2010-06-17,2010-06-21,Live Phone,,Adults,1000,45,48,7,3.1
ARG,None,2010-06-17,2010-06-20,Live Phone,,Adults,1100,41,51,8,2.6
ARG,None,2010-06-17,2010-06-20,Live Phone,,Adults (Democrats),385,71,23,,
ARG,None,2010-06-17,2010-06-20,Live Phone,,Adults (Republicans),253,10,84,,
ARG,None,2010-06-17,2010-06-20,Live Phone,,Adults (Independents),363,37,54,,
Gallup,None,2010-06-17,2010-06-19,Live Phone,,Adults,1500,48,45,,3
Rasmussen,None,2010-06-17,2010-06-19,Automated Phone,,Likely Voters,1500,43,57,,3
Gallup,None,2010-06-18,2010-06-20,Live Phone,,Adults,1500,49,44,,3
Rasmussen,None,2010-06-18,2010-06-20,Automated Phone,,Likely Voters,1500,45,55,,3
Democracy Corps (D),Democrat,2010-06-19,2010-06-22,Live Phone,,Likely Voters,1016,46,50,4,3.5
YouGov/Economist,None,2010-06-19,2010-06-22,Internet,,Adults,1000,44,49,7,3.4
YouGov/Economist,None,2010-06-19,2010-06-22,Internet,,Adults (Democrats),383,82,12,5,
YouGov/Economist,None,2010-06-19,2010-06-22,Internet,,Adults (Republicans),242,6,93,1,
YouGov/Economist,None,2010-06-19,2010-06-22,Internet,,Adults (Independents),290,34,54,12,
Gallup,None,2010-06-19,2010-06-21,Live Phone,,Adults,1500,48,45,,3
Rasmussen,None,2010-06-19,2010-06-21,Automated Phone,,Likely Voters,1500,46,53,,3
Resurgent Republic (R),Republican,2010-06-20,2010-06-23,Live Phone,,Registered Voters,1000,49,48,4,3.1
Resurgent Republic (R),Republican,2010-06-20,2010-06-23,Live Phone,,Registered Voters (Democrats),,88,9,3,5.4
Resurgent Republic (R),Republican,2010-06-20,2010-06-23,Live Phone,,Registered Voters (Republicans),,10,87,3,5.4
Resurgent Republic (R),Republican,2010-06-20,2010-06-23,Live Phone,,Registered Voters (Independents),,44,51,5,5.7
Gallup,None,2010-06-20,2010-06-22,Live Phone,,Adults,1500,45,46,,3
Rasmussen,None,2010-06-20,2010-06-22,Automated Phone,,Likely Voters,1500,48,51,,3
Gallup,None,2010-06-21,2010-06-23,Live Phone,,Adults,1500,45,46,,3
Rasmussen,None,2010-06-21,2010-06-23,Automated Phone,,Likely Voters,1500,48,51,,3
Gallup,None,2010-06-22,2010-06-24,Live Phone,,Adults,1500,45,45,,3
Rasmussen,None,2010-06-22,2010-06-24,Automated Phone,,Likely Voters,1500,45,53,,3
Gallup,None,2010-06-23,2010-06-25,Live Phone,,Adults,1500,46,46,,3
Rasmussen,None,2010-06-23,2010-06-25,Automated Phone,,Likely Voters,1500,45,54,,3
Newsweek,None,2010-06-23,2010-06-24,Live Phone,,Adults,964,48,46,6,3.8
Newsweek,None,2010-06-23,2010-06-24,Live Phone,,Adults (Democrats),313,83,13,4,6.6
Newsweek,None,2010-06-23,2010-06-24,Live Phone,,Adults (Republicans),294,18,78,4,6.9
Newsweek,None,2010-06-23,2010-06-24,Live Phone,,Adults (Independents),297,43,50,7,6.8
Gallup,None,2010-06-24,2010-06-26,Live Phone,,Adults,1500,45,46,,3
Rasmussen,None,2010-06-24,2010-06-26,Automated Phone,,Likely Voters,1500,45,54,,3
Zogby (Internet),None,2010-06-25,2010-06-28,Internet,,Likely Voters,2061,46,53,1,2.2
Gallup,None,2010-06-25,2010-06-27,Live Phone,,Adults,1500,46,46,,3
Rasmussen,None,2010-06-25,2010-06-27,Automated Phone,,Likely Voters,1500,49,50,,3
YouGov/Economist,None,2010-06-26,2010-06-29,Internet,,Adults,1000,42,49,8,3.4
YouGov/Economist,None,2010-06-26,2010-06-29,Internet,,Adults (Democrats),383,81,15,4,
YouGov/Economist,None,2010-06-26,2010-06-29,Internet,,Adults (Republicans),242,7,89,4,
YouGov/Economist,None,2010-06-26,2010-06-29,Internet,,Adults (Independents),290,35,60,5,
Rasmussen,None,2010-06-26,2010-06-28,Automated Phone,,Likely Voters,1500,48,51,,3
Gallup,None,2010-06-26,2010-06-28,Live Phone,,Adults,1500,46,45,,3
Gallup,None,2010-06-27,2010-06-29,Live Phone,,Adults,1500,46,45,,3
Rasmussen,None,2010-06-27,2010-06-29,Automated Phone,,Likely Voters,1500,45,54,,3
Gallup,None,2010-06-28,2010-06-30,Live Phone,,Adults,1500,47,45,,3
Rasmussen,None,2010-06-28,2010-06-30,Automated Phone,,Likely Voters,1500,44,55,,3
Gallup,None,2010-06-29,2010-07-01,Live Phone,,Adults,1500,49,44,,3
Rasmussen,None,2010-06-29,2010-07-01,Automated Phone,,Likely Voters,1500,45,55,,3
FOX,None,2010-06-29,2010-06-30,Live Phone,,Registered Voters,900,47,45,9,3
FOX,None,2010-06-29,2010-06-30,Live Phone,,Registered Voters (Democrats),348,84,10,6,5
FOX,None,2010-06-29,2010-06-30,Live Phone,,Registered Voters (Republicans),319,13,81,6,5.5
FOX,None,2010-06-29,2010-06-30,Live Phone,,Registered Voters (Independents),178,38,52,10,7
Rasmussen,None,2010-06-30,2010-07-05,Automated Phone,,Likely Voters,1500,45,54,,3
Gallup,None,2010-06-30,2010-07-02,Live Phone,,Adults,1500,47,46,,3
Rasmussen,None,2010-07-01,2010-07-06,Automated Phone,,Likely Voters,1500,45,54,,3
Gallup,None,2010-07-01,2010-07-03,Live Phone,,Adults,1500,46,45,,3
Gallup,None,2010-07-02,2010-07-05,Live Phone,,Adults,1500,44,46,,3
YouGov/Economist,None,2010-07-03,2010-07-06,Internet,,Adults,1000,43,52,6,3.4
YouGov/Economist,None,2010-07-03,2010-07-06,Internet,,Adults (Democrats),383,76,19,5,
YouGov/Economist,None,2010-07-03,2010-07-06,Internet,,Adults (Republicans),242,8,90,2,
YouGov/Economist,None,2010-07-03,2010-07-06,Internet,,Adults (Independents),290,36,59,5,
Gallup,None,2010-07-03,2010-07-06,Live Phone,,Adults,1500,44,46,,3
Gallup,None,2010-07-05,2010-07-07,Live Phone,,Adults,1500,44,48,,3
Rasmussen,None,2010-07-05,2010-07-07,Automated Phone,,Likely Voters,1500,45,54,,3
Gallup,None,2010-07-06,2010-07-08,Live Phone,,Adults,1500,45,48,,3
Rasmussen,None,2010-07-06,2010-07-08,Automated Phone,,Likely Voters,1500,46,53,,3
ABC/Post,None,2010-07-07,2010-07-11,Live Phone,,Adults,1288,50,47,3,3.5
Gallup,None,2010-07-07,2010-07-09,Live Phone,,Adults,1500,46,47,,3
Rasmussen,None,2010-07-07,2010-07-09,Automated Phone,,Likely Voters,1500,47,52,,3
Gallup,None,2010-07-08,2010-07-10,Live Phone,,Adults,1500,47,46,,3
Rasmussen,None,2010-07-08,2010-07-10,Automated Phone,,Likely Voters,1500,49,50,,3
Bloomberg,None,2010-07-09,2010-07-12,Live Phone,,Adults,1002,52,44,4,3.1
PPP (D),Democrat,2010-07-09,2010-07-12,Automated Phone,,Registered Voters,667,45,52,3,3.8
PPP (D),Democrat,2010-07-09,2010-07-12,Automated Phone,,Registered Voters (Democrats),,81,16,2,
PPP (D),Democrat,2010-07-09,2010-07-12,Automated Phone,,Registered Voters (Republicans),,9,88,3,
PPP (D),Democrat,2010-07-09,2010-07-12,Automated Phone,,Registered Voters (Independents),,40,56,4,
CBS News,None,2010-07-09,2010-07-12,Live Phone,,Adults,966,44,44,12,3
CBS News,None,2010-07-09,2010-07-12,Live Phone,,Adults (Democrats),345,78,11,11,
CBS News,None,2010-07-09,2010-07-12,Live Phone,,Adults (Republicans),276,12,81,7,
CBS News,None,2010-07-09,2010-07-12,Live Phone,,Adults (Independents),345,38,46,16,
Gallup,None,2010-07-09,2010-07-11,Live Phone,,Adults,1500,47,46,,3
Rasmussen,None,2010-07-09,2010-07-11,Automated Phone,,Likely Voters,1500,49,50,,3
YouGov/Economist,None,2010-07-10,2010-07-13,Internet,,Adults,1000,48,45,7,3.4
YouGov/Economist,None,2010-07-10,2010-07-13,Internet,,Adults (Democrats),383,81,13,6,
YouGov/Economist,None,2010-07-10,2010-07-13,Internet,,Adults (Republicans),242,12,85,3,
YouGov/Economist,None,2010-07-10,2010-07-13,Internet,,Adults (Independents),290,42,51,7,
Gallup,None,2010-07-10,2010-07-12,Live Phone,,Adults,1500,48,45,,3
Rasmussen,None,2010-07-10,2010-07-12,Automated Phone,,Likely Voters,1500,48,52,,3
Gallup,None,2010-07-11,2010-07-13,Live Phone,,Adults,1500,45,47,,3
Rasmussen,None,2010-07-11,2010-07-13,Automated Phone,,Likely Voters,1500,47,53,,3
Rasmussen,None,2010-07-12,2010-07-14,Automated Phone,,Likely Voters,1500,45,54,,3
Gallup,None,2010-07-12,2010-07-14,Live Phone,,Adults,1500,44,48,,3
Time,None,2010-07-12,2010-07-13,Live Phone,,Adults,1002,49,45,6,3
Quinnipiac,None,2010-07-13,2010-07-19,Live Phone,,Registered Voters,2181,44,48,8,2.1
Quinnipiac,None,2010-07-13,2010-07-19,Live Phone,,Registered Voters (Democrats),,78,13,9,
Quinnipiac,None,2010-07-13,2010-07-19,Live Phone,,Registered Voters (Republicans),,12,82,6,
Quinnipiac,None,2010-07-13,2010-07-19,Live Phone,,Registered Voters (Independents),,38,52,10,
Gallup,None,2010-07-13,2010-07-15,Live Phone,,Adults,1500,44,48,,3
Rasmussen,None,2010-07-13,2010-07-15,Automated Phone,,Likely Voters,1500,46,54,,3
FOX,None,2010-07-13,2010-07-14,Live Phone,,Registered Voters,900,43,48,9,3
FOX,None,2010-07-13,2010-07-14,Live Phone,,Registered Voters (Democrats),332,76,15,9,5
FOX,None,2010-07-13,2010-07-14,Live Phone,,Registered Voters (Republicans),343,13,80,8,5
FOX,None,2010-07-13,2010-07-14,Live Phone,,Registered Voters (Independents),166,40,48,13,8
Gallup,None,2010-07-14,2010-07-16,Live Phone,,Adults,1500,47,45,,3
Rasmussen,None,2010-07-14,2010-07-16,Automated Phone,,Likely Voters,1500,44,55,,3
Gallup,None,2010-07-15,2010-07-17,Live Phone,,Adults,1500,49,44,,3
Rasmussen,None,2010-07-15,2010-07-17,Automated Phone,,Likely Voters,1500,46,54,,3
CNN,None,2010-07-16,2010-07-21,Live Phone,,Adults,1018,47,50,2,3
Zogby (Internet),None,2010-07-16,2010-07-19,Internet,,Likely Voters,8487,45,54,1,1.1
Gallup,None,2010-07-16,2010-07-18,Live Phone,,Adults,1500,48,44,,3
Rasmussen,None,2010-07-16,2010-07-18,Automated Phone,,Likely Voters,1500,47,52,,3
YouGov/Economist,None,2010-07-17,2010-07-20,Internet,,Adults,1000,45,48,8,3.4
YouGov/Economist,None,2010-07-17,2010-07-20,Internet,,Adults (Democrats),383,80,14,6,
YouGov/Economist,None,2010-07-17,2010-07-20,Internet,,Adults (Republicans),242,12,87,2,
YouGov/Economist,None,2010-07-17,2010-07-20,Internet,,Adults (Independents),290,38,56,6,
ARG,None,2010-07-17,2010-07-20,Live Phone,,Adults,1100,42,51,7,2.6
ARG,None,2010-07-17,2010-07-20,Live Phone,,Adults (Democrats),,80,14,,
ARG,None,2010-07-17,2010-07-20,Live Phone,,Adults (Republicans),,7,90,,
ARG,None,2010-07-17,2010-07-20,Live Phone,,Adults (Independents),,34,56,,
Gallup,None,2010-07-17,2010-07-19,Live Phone,,Adults,1500,47,45,,3
Rasmussen,None,2010-07-17,2010-07-19,Automated Phone,,Likely Voters,1500,46,53,,3
Gallup,None,2010-07-18,2010-07-20,Live Phone,,Adults,1500,46,47,,3
Rasmussen,None,2010-07-18,2010-07-20,Automated Phone,,Likely Voters,1500,46,53,,3
Gallup,None,2010-07-19,2010-07-21,Live Phone,,Adults,1500,46,46,,3
Rasmussen,None,2010-07-19,2010-07-21,Automated Phone,,Likely Voters,1500,44,55,,3
Gallup,None,2010-07-20,2010-07-22,Live Phone,,Adults,1500,44,48,,3
Rasmussen,None,2010-07-20,2010-07-22,Automated Phone,,Likely Voters,1500,43,56,,3
Pew,None,2010-07-21,2010-08-05,Live Phone,,Adults,3003,47,41,12,2.5
Pew,None,2010-07-21,2010-08-05,Live Phone,,Adults (Democrats),992,79,13,8,
Pew,None,2010-07-21,2010-08-05,Live Phone,,Adults (Republicans),842,14,78,8,
Pew,None,2010-07-21,2010-08-05,Live Phone,,Adults (Independents),977,42,43,15,
Gallup,None,2010-07-21,2010-07-23,Live Phone,,Adults,1500,44,47,,3
Rasmussen,None,2010-07-21,2010-07-23,Automated Phone,,Likely Voters,1500,43,56,,3
Ipsos/Reuters,None,2010-07-22,2010-07-25,Live Phone,,Adults,1075,48,48,3,3
Ipsos/Reuters,None,2010-07-22,2010-07-25,Live Phone,,Adults (Democrats),,76,21,,
Ipsos/Reuters,None,2010-07-22,2010-07-25,Live Phone,,Adults (Republicans),,14,84,,
Ipsos/Reuters,None,2010-07-22,2010-07-25,Live Phone,,Adults (Independents),,52,41,,
Gallup,None,2010-07-22,2010-07-24,Live Phone,,Adults,1500,44,47,,3
Rasmussen,None,2010-07-22,2010-07-24,Automated Phone,,Likely Voters,1500,43,56,,3
Gallup,None,2010-07-23,2010-07-25,Live Phone,,Adults,1500,46,47,,3
Rasmussen,None,2010-07-23,2010-07-25,Automated Phone,,Likely Voters,1500,45,55,,3
YouGov/Economist,None,2010-07-24,2010-07-27,Internet,,Adults,1000,44,50,6,3.4
YouGov/Economist,None,2010-07-24,2010-07-27,Internet,,Adults (Democrats),363,75,19,6,
YouGov/Economist,None,2010-07-24,2010-07-27,Internet,,Adults (Republicans),259,8,87,4,
YouGov/Economist,None,2010-07-24,2010-07-27,Internet,,Adults (Independents),293,41,56,3,
Gallup,None,2010-07-24,2010-07-26,Live Phone,,Adults,1500,45,48,,3
Rasmussen,None,2010-07-24,2010-07-26,Automated Phone,,Likely Voters,1500,44,56,,3
Gallup,None,2010-07-25,2010-07-27,Live Phone,,Adults,1500,45,49,,3
Rasmussen,None,2010-07-25,2010-07-27,Automated Phone,,Likely Voters,1500,46,53,,3
Democracy Corps (D)/CAF,Democrat,2010-07-26,2010-07-29,Live Phone,,Likely Voters,1000,45,51,4,3.5
Gallup,None,2010-07-26,2010-07-28,Live Phone,,Adults,1500,46,47,,3
Rasmussen,None,2010-07-26,2010-07-28,Automated Phone,,Likely Voters,1500,46,54,,3
USA Today/Gallup,None,2010-07-27,2010-08-01,Live Phone,,Adults,1208,41,53,6,3
Zogby (Internet),None,2010-07-27,2010-07-29,Internet,,Likely Voters,2389,43,57,1,
Zogby (Internet),None,2010-07-27,2010-07-29,Internet,,Likely Voters (Democrats),,76,24,1,
Zogby (Internet),None,2010-07-27,2010-07-29,Internet,,Likely Voters (Republicans),,9,90,1,
Zogby (Internet),None,2010-07-27,2010-07-29,Internet,,Likely Voters (Independents),,38,61,1,
Gallup,None,2010-07-27,2010-07-29,Live Phone,,Adults,1500,45,47,,3
Rasmussen,None,2010-07-27,2010-07-29,Automated Phone,,Likely Voters,1500,47,53,,3
FOX,None,2010-07-27,2010-07-28,Live Phone,,Registered Voters,900,43,50,7,3
FOX,None,2010-07-27,2010-07-28,Live Phone,,Registered Voters (Democrats),336,80,15,5,5
FOX,None,2010-07-27,2010-07-28,Live Phone,,Registered Voters (Republicans),366,14,80,6,5
FOX,None,2010-07-27,2010-07-28,Live Phone,,Registered Voters (Independents),140,36,56,8,8
Rasmussen,None,2010-07-28,2010-07-30,Automated Phone,,Likely Voters,1500,44,56,,3
Gallup,None,2010-07-28,2010-07-30,Live Phone,,Adults,1500,46,47,,3
Rasmussen,None,2010-07-29,2010-07-31,Automated Phone,,Likely Voters,1500,44,55,,3
Gallup,None,2010-07-29,2010-07-31,Live Phone,,Adults,1500,44,47,,3
Gallup,None,2010-07-30,2010-08-01,Live Phone,,Adults,1500,45,47,,3
Rasmussen,None,2010-07-30,2010-08-01,Automated Phone,,Likely Voters,1500,45,54,,3
YouGov/Economist,None,2010-07-31,2010-08-03,Internet,,Adults,1000,45,48,8,3.4
YouGov/Economist,None,2010-07-31,2010-08-03,Internet,,Adults (Democrats),371,77,18,5,
YouGov/Economist,None,2010-07-31,2010-08-03,Internet,,Adults (Republicans),231,9,90,1,
YouGov/Economist,None,2010-07-31,2010-08-03,Internet,,Adults (Independents),302,41,54,6,
Gallup,None,2010-07-31,2010-08-02,Live Phone,,Adults,1500,45,46,,3
Rasmussen,None,2010-07-31,2010-08-02,Automated Phone,,Likely Voters,1500,46,53,,3
Gallup,None,2010-08-01,2010-08-03,Live Phone,,Adults,1500,44,48,,3
Rasmussen,None,2010-08-01,2010-08-03,Automated Phone,,Likely Voters,1500,46,53,,3
Gallup,None,2010-08-02,2010-08-04,Live Phone,,Adults,1500,45,48,,3
Rasmussen,None,2010-08-02,2010-08-04,Automated Phone,,Likely Voters,1500,46,54,,3
Gallup,None,2010-08-03,2010-08-05,Live Phone,,Adults,1500,45,49,,3
Rasmussen,None,2010-08-03,2010-08-05,Automated Phone,,Likely Voters,1500,47,53,,3
Gallup,None,2010-08-04,2010-08-06,Live Phone,,Adults,1500,46,47,,3
Rasmussen,None,2010-08-04,2010-08-06,Automated Phone,,Likely Voters,1500,48,51,,3
NBC/WSJ,None,2010-08-05,2010-08-09,Live Phone,,Adults,1000,47,48,5,3.1
Gallup,None,2010-08-05,2010-08-07,Live Phone,,Adults,1500,47,46,,3
Rasmussen,None,2010-08-05,2010-08-07,Automated Phone,,Likely Voters,1500,48,51,,3
CNN,None,2010-08-06,2010-08-10,Live Phone,,Adults,1009,47,51,2,3
CNN,None,2010-08-06,2010-08-10,Live Phone,,Adults (Democrats),,83,16,1,
CNN,None,2010-08-06,2010-08-10,Live Phone,,Adults (Republicans),,8,90,2,
CNN,None,2010-08-06,2010-08-10,Live Phone,,Adults (Independents),,44,54,1,
PPP (D),Democrat,2010-08-06,2010-08-09,Automated Phone,,Registered Voters,606,47,48,5,4
PPP (D),Democrat,2010-08-06,2010-08-09,Automated Phone,,Registered Voters (Democrats),,82,14,4,
PPP (D),Democrat,2010-08-06,2010-08-09,Automated Phone,,Registered Voters (Republicans),,10,86,4,
PPP (D),Democrat,2010-08-06,2010-08-09,Automated Phone,,Registered Voters (Independents),,44,49,7,
Gallup,None,2010-08-06,2010-08-08,Live Phone,,Adults,1500,45,48,,3
Rasmussen,None,2010-08-06,2010-08-08,Automated Phone,,Likely Voters,1500,46,52,,3
YouGov/Economist,None,2010-08-07,2010-08-10,Internet,,Adults,1000,45,48,7,3.4
YouGov/Economist,None,2010-08-07,2010-08-10,Internet,,Adults (Democrats),383,80,16,4,
YouGov/Economist,None,2010-08-07,2010-08-10,Internet,,Adults (Republicans),242,10,89,2,
YouGov/Economist,None,2010-08-07,2010-08-10,Internet,,Adults (Independents),290,36,57,7,
Gallup,None,2010-08-07,2010-08-09,Live Phone,,Adults,1500,46,47,,3
Rasmussen,None,2010-08-07,2010-08-09,Automated Phone,,Likely Voters,1500,44,55,,3
Gallup,None,2010-08-08,2010-08-10,Live Phone,,Adults,1500,45,48,,3
Rasmussen,None,2010-08-08,2010-08-10,Automated Phone,,Likely Voters,1500,43,56,,3
Zogby (Internet),None,2010-08-09,2010-08-11,Internet,,Likely Voters,2067,43,56,1,2.2
Zogby (Internet),None,2010-08-09,2010-08-11,Internet,,Likely Voters (Democrats),,83,13,1,
Zogby (Internet),None,2010-08-09,2010-08-11,Internet,,Likely Voters (Republicans),,6,94,,
Zogby (Internet),None,2010-08-09,2010-08-11,Internet,,Likely Voters (Independents),,32,67,1,
Gallup,None,2010-08-09,2010-08-11,Live Phone,,Adults,1500,46,47,,3
Rasmussen,None,2010-08-09,2010-08-11,Automated Phone,,Likely Voters,1500,45,54,,3
Gallup,None,2010-08-10,2010-08-12,Live Phone,,Adults,1500,44,48,,3
Rasmussen,None,2010-08-10,2010-08-12,Automated Phone,,Likely Voters,1500,47,52,,3
FOX,None,2010-08-10,2010-08-11,Live Phone,,Registered Voters,900,43,49,8,3
FOX,None,2010-08-10,2010-08-11,Live Phone,,Registered Voters (Democrats),345,77,19,5,5
FOX,None,2010-08-10,2010-08-11,Live Phone,,Registered Voters (Republicans),359,14,81,6,5.5
FOX,None,2010-08-10,2010-08-11,Live Phone,,Registered Voters (Independents),150,42,46,13,7
AP-GFK,None,2010-08-11,2010-08-16,Live Phone,,Adults,1007,49,50,1,4.5
Gallup,None,2010-08-11,2010-08-13,Live Phone,,Adults,1500,43,48,,3
Rasmussen,None,2010-08-11,2010-08-13,Automated Phone,,Likely Voters,1500,46,53,,3
Gallup,None,2010-08-12,2010-08-14,Live Phone,,Adults,1500,42,49,,3
Rasmussen,None,2010-08-12,2010-08-14,Automated Phone,,Likely Voters,1500,45,53,,3
Gallup,None,2010-08-13,2010-08-15,Live Phone,,Adults,1500,42,50,,3
Rasmussen,None,2010-08-13,2010-08-15,Automated Phone,,Likely Voters,1500,43,56,,3
YouGov/Economist,None,2010-08-14,2010-08-17,Internet,,Adults,1000,43,52,6,3.4
YouGov/Economist,None,2010-08-14,2010-08-17,Internet,,Adults (Democrats),353,75,20,5,
YouGov/Economist,None,2010-08-14,2010-08-17,Internet,,Adults (Republicans),251,12,88,0,
YouGov/Economist,None,2010-08-14,2010-08-17,Internet,,Adults (Independents),311,32,63,5,
Gallup,None,2010-08-14,2010-08-16,Live Phone,,Adults,1500,42,51,,3
Rasmussen,None,2010-08-14,2010-08-16,Automated Phone,,Likely Voters,1500,44,55,,3
Gallup,None,2010-08-15,2010-08-17,Live Phone,,Adults,1500,41,52,,3
Rasmussen,None,2010-08-15,2010-08-17,Automated Phone,,Likely Voters,1500,45,54,,3
Gallup,None,2010-08-16,2010-08-18,Live Phone,,Adults,1500,41,52,,3
Rasmussen,None,2010-08-16,2010-08-18,Automated Phone,,Likely Voters,1500,46,53,,3
Time,None,2010-08-16,2010-08-17,Live Phone,,Adults,1002,46,45,9,3
ARG,None,2010-08-17,2010-08-20,Live Phone,,Adults,1100,43,51,6,2.6
ARG,None,2010-08-17,2010-08-20,Live Phone,,Adults (Democrats),,87,6,,
ARG,None,2010-08-17,2010-08-20,Live Phone,,Adults (Republicans),,5,89,,
ARG,None,2010-08-17,2010-08-20,Live Phone,,Adults (Independents),,36,60,,
Gallup,None,2010-08-17,2010-08-19,Live Phone,,Adults,1500,42,51,,3
Rasmussen,None,2010-08-17,2010-08-19,Automated Phone,,Likely Voters,1500,45,54,,3
Zogby (Internet),None,2010-08-18,2010-08-23,Internet,,Likely Voters,8509,46,53,1,1.1
Gallup,None,2010-08-18,2010-08-20,Live Phone,,Adults,1500,43,50,,3
Rasmussen,None,2010-08-18,2010-08-20,Automated Phone,,Likely Voters,1500,45,53,,3
Ipsos/Reuters,None,2010-08-19,2010-08-22,Live Phone,,Adults,1063,45,52,3,3
Ipsos/Reuters,None,2010-08-19,2010-08-22,Live Phone,,Adults (Democrats),,74,24,,
Ipsos/Reuters,None,2010-08-19,2010-08-22,Live Phone,,Adults (Republicans),,11,86,,
Ipsos/Reuters,None,2010-08-19,2010-08-22,Live Phone,,Adults (Independents),,37,53,,
Gallup,None,2010-08-19,2010-08-21,Live Phone,,Adults,1500,44,49,,3
Rasmussen,None,2010-08-19,2010-08-21,Automated Phone,,Likely Voters,1500,48,51,,3
CBS News,None,2010-08-20,2010-08-24,Live Phone,,Adults,1082,48,44,8,3
CBS News,None,2010-08-20,2010-08-24,Live Phone,,Adults (Democrats),353,79,17,5,
CBS News,None,2010-08-20,2010-08-24,Live Phone,,Adults (Republicans),312,17,78,5,
CBS News,None,2010-08-20,2010-08-24,Live Phone,,Adults (Independents),417,42,45,13,
Gallup,None,2010-08-20,2010-08-22,Live Phone,,Adults,1500,44,49,,3
Rasmussen,None,2010-08-20,2010-08-22,Automated Phone,,Likely Voters,1500,47,52,,3
YouGov/Economist,None,2010-08-21,2010-08-24,Internet,,Adults,1000,42,52,6,3.4
YouGov/Economist,None,2010-08-21,2010-08-24,Internet,,Adults (Democrats),388,74,20,6,
YouGov/Economist,None,2010-08-21,2010-08-24,Internet,,Adults (Republicans),261,10,89,2,
YouGov/Economist,None,2010-08-21,2010-08-24,Internet,,Adults (Independents),273,34,61,5,
Gallup,None,2010-08-21,2010-08-23,Live Phone,,Adults,1500,45,50,,3
Rasmussen,None,2010-08-21,2010-08-23,Automated Phone,,Likely Voters,1500,45,54,,3
Gallup,None,2010-08-22,2010-08-24,Live Phone,,Adults,1500,42,51,,3
Rasmussen,None,2010-08-22,2010-08-24,Automated Phone,,Likely Voters,1500,44,56,,3
Gallup,None,2010-08-23,2010-08-25,Live Phone,,Adults,1500,43,50,,3
Rasmussen,None,2010-08-23,2010-08-25,Automated Phone,,Likely Voters,1500,44,56,,3
Gallup,None,2010-08-24,2010-08-26,Live Phone,,Adults,1500,44,49,,3
Rasmussen,None,2010-08-24,2010-08-26,Automated Phone,,Likely Voters,1500,46,54,,3
Pew,None,2010-08-25,2010-09-06,Live Phone,,Adults,3509,47,44,9,2
Pew,None,2010-08-25,2010-09-06,Live Phone,,Adults (Democrats),,81,15,4,
Pew,None,2010-08-25,2010-09-06,Live Phone,,Adults (Republicans),,14,79,6,
Pew,None,2010-08-25,2010-09-06,Live Phone,,Adults (Independents),,40,45,15,
Gallup,None,2010-08-25,2010-08-27,Live Phone,,Adults,1500,44,48,,3
Rasmussen,None,2010-08-25,2010-08-27,Automated Phone,,Likely Voters,1500,47,52,,3
Newsweek,None,2010-08-25,2010-08-26,Live Phone,,Adults,1029,47,45,8,3.7
Newsweek,None,2010-08-25,2010-08-26,Live Phone,,Adults (Democrats),334,82,14,4,6.5
Newsweek,None,2010-08-25,2010-08-26,Live Phone,,Adults (Republicans),314,8,88,4,6.5
Newsweek,None,2010-08-25,2010-08-26,Live Phone,,Adults (Independents),310,41,48,11,6.9
NBC/WSJ,None,2010-08-26,2010-08-30,Live Phone,,Adults,1000,45,49,6,3.1
